0.00000000000000e+00 1.000e+00
-6.94342165461490e+06   inf
-6.87722033531934e+06 9.534e-03
-6.87132134263753e+06 8.578e-04
-6.86619773780614e+06 7.457e-04
-6.86348443526238e+06 3.952e-04
-6.85578874675328e+06 1.121e-03
-6.84051045841298e+06 2.229e-03
-6.81182888733675e+06 4.193e-03
-6.75307291845075e+06 8.626e-03
-6.65542566530084e+06 1.446e-02
-6.55250454728726e+06 1.546e-02
-6.49043955262464e+06 9.472e-03
-6.45431729703415e+06 5.565e-03
-6.42850202504629e+06 4.000e-03
-6.41320818882536e+06 2.379e-03
-6.40145550490478e+06 1.833e-03
-6.38772537232099e+06 2.145e-03
-6.37732522249629e+06 1.628e-03
-6.36892844860050e+06 1.317e-03
-6.36099079675550e+06 1.246e-03
